install_id,test_id,test_name,variant,variant_label,install_date,channel,device_os,cpi_zar,ltv_zar,retention_d1,retention_d7,retention_d30,booked_in_app
AB3_000014,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-07,TikTok Ads,android,26.59,1058.2,0.299,0.299,0.187,False
AB3_000015,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-25,Google UAC,android,19.66,2074.05,0.515,0.384,0.211,False
AB3_000016,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-21,TikTok Ads,ios,22.68,1146.77,0.337,0.294,0.212,False
AB3_000017,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-06,Google UAC,ios,18.6,2127.06,0.443,0.404,0.238,False
AB3_000018,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-11,TikTok Ads,ios,27.49,1170.33,0.356,0.326,0.209,False
AB3_000019,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-18,TikTok Ads,android,21.75,2966.43,0.576,0.391,0.265,False
AB3_000020,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-10,Google UAC,android,23.08,2225.86,0.54,0.277,0.29,False
AB3_000021,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-04,Meta Ads,android,14.76,1859.47,0.55,0.329,0.247,False
AB3_000022,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-22,TikTok Ads,android,28.77,2268.74,0.425,0.23,0.211,False
AB3_000023,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-07,Meta Ads,ios,20.64,1520.37,0.468,0.225,0.299,False
AB3_000024,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-10,Google UAC,ios,29.51,1952.71,0.33,0.359,0.176,False
AB3_000025,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-18,Meta Ads,android,18.62,2010.2,0.479,0.289,0.232,False
AB3_000026,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-19,TikTok Ads,android,27.41,1880.45,0.415,0.217,0.195,False
AB3_000027,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-04,TikTok Ads,ios,20.49,3197.06,0.481,0.409,0.264,False
AB3_000028,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-13,Google UAC,ios,20.21,1373.95,0.422,0.289,0.173,False
AB3_000029,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-20,TikTok Ads,android,20.92,2272.49,0.517,0.316,0.209,False
AB3_000030,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-29,Meta Ads,android,24.41,1660.55,0.432,0.319,0.214,False
AB3_000031,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-10,TikTok Ads,android,21.91,2419.07,0.437,0.341,0.203,False
AB3_000032,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-08,Google UAC,ios,20.95,1892.98,0.425,0.324,0.183,False
AB3_000033,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-13,Google UAC,android,21.69,2674.24,0.485,0.394,0.197,False
AB3_000034,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-04,Meta Ads,android,20.41,1654.01,0.319,0.297,0.181,False
AB3_000035,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-19,Google UAC,android,22.65,3964.92,0.447,0.299,0.228,False
AB3_000036,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-19,Meta Ads,ios,22.88,1136.55,0.389,0.312,0.203,False
AB3_000037,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-08,Meta Ads,ios,26.46,1815.66,0.413,0.327,0.243,False
AB3_000038,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-04,Meta Ads,android,24.85,1090.46,0.408,0.267,0.193,False
AB3_000039,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-24,Google UAC,android,19.81,2980.22,0.535,0.322,0.144,False
AB3_000040,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-20,TikTok Ads,android,19.79,1783.01,0.446,0.297,0.154,False
AB3_000041,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-17,Google UAC,android,13.19,1637.75,0.508,0.238,0.239,False
AB3_000042,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-18,Meta Ads,ios,29.04,2505.54,0.359,0.279,0.194,False
AB3_000043,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-03,TikTok Ads,ios,20.23,1994.91,0.511,0.416,0.25,False
AB3_000044,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-29,Google UAC,android,25.7,1354.77,0.396,0.213,0.178,False
AB3_000045,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-29,Google UAC,ios,18.89,2411.65,0.557,0.312,0.24,False
AB3_000046,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-17,Google UAC,ios,22.64,1762.76,0.55,0.262,0.143,False
AB3_000047,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-12,Meta Ads,android,20.97,3128.45,0.537,0.406,0.162,False
AB3_000048,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-16,Meta Ads,android,26.12,1385.84,0.39,0.285,0.192,False
AB3_000049,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-09,TikTok Ads,ios,16.63,1703.13,0.526,0.26,0.259,False
AB3_000050,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-10,Google UAC,android,23.97,2396.37,0.432,0.249,0.216,False
AB3_000051,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-06,Meta Ads,android,19.36,2354.41,0.418,0.402,0.225,False
AB3_000052,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-20,Meta Ads,android,28.78,1229.34,0.486,0.161,0.166,False
AB3_000053,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-09,Google UAC,ios,21.43,2734.88,0.592,0.344,0.214,False
AB3_000054,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-16,Meta Ads,android,22.55,1988.93,0.471,0.271,0.211,False
AB3_000055,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-13,Google UAC,android,17.63,2321.97,0.558,0.345,0.254,True
AB3_000056,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-20,Meta Ads,ios,27.08,3456.79,0.437,0.286,0.208,False
AB3_000057,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-03,Meta Ads,android,19.3,2550.05,0.333,0.273,0.231,False
AB3_000058,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-14,Meta Ads,ios,19.29,1365.87,0.295,0.243,0.211,False
AB3_000059,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-30,TikTok Ads,android,21.25,1814.58,0.519,0.36,0.201,False
AB3_000060,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-13,Meta Ads,android,28.13,1816.67,0.356,0.375,0.23,False
AB3_000061,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-18,Meta Ads,android,14.45,3949.22,0.515,0.277,0.267,False
AB3_000062,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-25,Meta Ads,android,24.03,2476.45,0.481,0.355,0.186,False
AB3_000063,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-01,Meta Ads,ios,21.1,2203.78,0.513,0.296,0.264,False
AB3_000064,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-18,Google UAC,ios,33.69,2466.22,0.354,0.378,0.149,False
AB3_000065,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-26,Google UAC,android,21.95,3309.47,0.5,0.333,0.228,False
AB3_000066,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-25,Meta Ads,android,24.07,2645.32,0.431,0.307,0.171,False
AB3_000067,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-18,Meta Ads,android,19.95,2623.71,0.502,0.314,0.199,False
AB3_000068,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-11,Meta Ads,android,14.6,2357.4,0.405,0.299,0.239,False
AB3_000069,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-24,TikTok Ads,ios,17.41,3173.28,0.448,0.36,0.243,False
AB3_000070,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-23,Meta Ads,android,27.39,2200.34,0.5,0.116,0.157,False
AB3_000071,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-31,Google UAC,android,16.55,2018.09,0.45,0.323,0.2,True
AB3_000072,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-10,Google UAC,android,23.8,2442.11,0.449,0.343,0.242,True
AB3_000073,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-13,Google UAC,android,17.75,1751.45,0.522,0.363,0.196,False
AB3_000074,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-27,Meta Ads,ios,26.5,1825.33,0.392,0.271,0.198,False
AB3_000075,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-17,Meta Ads,ios,20.04,2391.91,0.56,0.224,0.14,False
AB3_000076,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-13,Google UAC,android,23.42,1788.4,0.428,0.28,0.104,False
AB3_000077,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-30,Google UAC,android,12.15,1492.95,0.492,0.288,0.296,False
AB3_000078,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-15,Meta Ads,android,23.74,2477.75,0.436,0.245,0.137,False
AB3_000079,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-16,Google UAC,android,18.15,2233.44,0.452,0.31,0.234,False
AB3_000080,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-21,Google UAC,android,23.73,1834.37,0.552,0.249,0.223,False
AB3_000081,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-11,Google UAC,android,22.81,2343.15,0.47,0.307,0.207,False
AB3_000082,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-22,Google UAC,android,21.2,2327.08,0.484,0.288,0.205,False
AB3_000083,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-02,TikTok Ads,android,17.61,2598.99,0.517,0.245,0.22,False
AB3_000084,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-15,Meta Ads,android,22.2,2135.07,0.438,0.289,0.157,False
AB3_000085,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-30,Google UAC,ios,20.82,1972.29,0.528,0.325,0.214,False
AB3_000086,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-14,Google UAC,ios,28.45,940.83,0.452,0.314,0.216,False
AB3_000087,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-20,TikTok Ads,android,23.68,3164.52,0.47,0.33,0.255,False
AB3_000088,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-26,Meta Ads,ios,27.61,1435.67,0.4,0.334,0.156,False
AB3_000089,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-24,TikTok Ads,android,20.06,1968.76,0.45,0.331,0.208,False
AB3_000090,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-02,Meta Ads,ios,20.08,1615.1,0.423,0.272,0.223,False
AB3_000091,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-30,Meta Ads,android,23.57,1078.6,0.572,0.401,0.284,False
AB3_000092,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-27,Meta Ads,android,23.68,1746.99,0.332,0.284,0.237,False
AB3_000093,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-07,Meta Ads,android,27.46,2328.5,0.5,0.356,0.214,False
AB3_000094,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-19,Google UAC,android,23.85,1535.33,0.278,0.307,0.159,False
AB3_000095,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-11,Meta Ads,android,15.25,2297.72,0.494,0.373,0.185,False
AB3_000096,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-25,Google UAC,ios,25.47,2607.34,0.389,0.2,0.194,False
AB3_000097,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-01,Meta Ads,ios,16.97,2642.81,0.415,0.349,0.322,False
AB3_000098,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-04,TikTok Ads,android,29.04,1912.3,0.477,0.263,0.187,False
AB3_000099,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-06,Google UAC,ios,24.33,2295.1,0.554,0.422,0.244,False
AB3_000100,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-19,TikTok Ads,ios,19.2,2590.45,0.444,0.312,0.231,False
AB3_000101,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-18,Meta Ads,ios,18.54,2209.33,0.474,0.311,0.235,False
AB3_000102,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-28,Google UAC,ios,26.27,1517.65,0.496,0.272,0.124,False
AB3_000103,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-07,Meta Ads,android,13.99,2462.8,0.47,0.389,0.239,False
AB3_000104,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-05,Meta Ads,android,33.95,2386.94,0.478,0.245,0.058,False
AB3_000105,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-25,Meta Ads,ios,13.23,2546.0,0.473,0.313,0.198,False
AB3_000106,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-24,Meta Ads,android,24.32,1401.49,0.403,0.291,0.218,False
AB3_000107,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-13,Meta Ads,ios,23.39,3557.98,0.479,0.301,0.206,False
AB3_000108,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-21,Meta Ads,android,24.81,1935.68,0.43,0.272,0.175,False
AB3_000109,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-08,Google UAC,android,19.23,1229.58,0.403,0.358,0.239,False
AB3_000110,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-03,Meta Ads,android,20.44,2010.91,0.392,0.314,0.205,False
AB3_000111,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-30,TikTok Ads,android,18.12,2844.85,0.448,0.343,0.246,False
AB3_000112,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-16,Meta Ads,android,24.14,1472.31,0.325,0.228,0.143,False
AB3_000113,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-05,Google UAC,ios,18.94,3236.75,0.492,0.421,0.251,False
AB3_000114,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-13,TikTok Ads,ios,19.0,2343.9,0.41,0.27,0.168,False
AB3_000115,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-27,Meta Ads,android,22.24,3159.83,0.383,0.312,0.225,False
AB3_000116,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-03,Google UAC,ios,25.87,1630.81,0.355,0.271,0.138,False
AB3_000117,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-31,Meta Ads,ios,25.42,1465.94,0.484,0.345,0.236,False
AB3_000118,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-23,Google UAC,android,20.19,1226.52,0.344,0.248,0.142,False
AB3_000119,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-06,Google UAC,android,21.7,1794.81,0.466,0.419,0.299,True
AB3_000120,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-15,Google UAC,ios,23.53,2386.77,0.443,0.297,0.134,False
AB3_000121,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-20,Google UAC,android,21.08,2077.69,0.488,0.397,0.249,False
AB3_000122,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-10,Meta Ads,ios,26.45,1314.64,0.417,0.345,0.205,False
AB3_000123,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-02,Meta Ads,android,18.91,724.65,0.459,0.399,0.2,False
AB3_000124,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-07,Google UAC,android,32.62,902.0,0.297,0.277,0.128,False
AB3_000125,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-16,TikTok Ads,ios,16.86,2584.66,0.456,0.329,0.19,False
AB3_000126,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-18,Meta Ads,android,25.4,1621.19,0.435,0.323,0.15,False
AB3_000127,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-22,Meta Ads,ios,18.42,1590.04,0.578,0.373,0.227,True
AB3_000128,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-21,Google UAC,ios,24.62,1792.14,0.428,0.275,0.218,False
AB3_000129,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-16,Google UAC,ios,15.97,2589.09,0.517,0.285,0.22,False
AB3_000130,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-23,Meta Ads,android,27.26,1929.47,0.313,0.264,0.191,False
AB3_000131,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-06,Meta Ads,ios,13.15,1548.41,0.456,0.343,0.183,False
AB3_000132,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-25,TikTok Ads,android,25.06,1032.75,0.408,0.413,0.243,False
AB3_000133,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-21,Meta Ads,android,9.71,1493.91,0.473,0.298,0.242,False
AB3_000134,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-14,TikTok Ads,ios,24.56,2688.77,0.383,0.281,0.125,False
AB3_000135,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-25,Google UAC,ios,16.3,2623.54,0.48,0.244,0.187,False
AB3_000136,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-20,TikTok Ads,android,26.04,2150.18,0.44,0.338,0.18,False
AB3_000137,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-22,Meta Ads,ios,17.47,1637.57,0.46,0.313,0.257,True
AB3_000138,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-11,Meta Ads,ios,28.27,2011.09,0.461,0.3,0.198,False
AB3_000139,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-06,Meta Ads,ios,19.77,1593.92,0.58,0.38,0.211,False
AB3_000140,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-29,Meta Ads,android,25.15,2366.88,0.459,0.316,0.133,False
AB3_000141,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-06,Google UAC,ios,17.38,3708.72,0.587,0.327,0.279,False
AB3_000142,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-29,Meta Ads,ios,27.26,1687.91,0.412,0.276,0.176,False
AB3_000143,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-16,TikTok Ads,android,18.02,878.49,0.498,0.357,0.211,False
AB3_000144,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-04,Meta Ads,android,29.28,1130.22,0.41,0.29,0.23,False
AB3_000145,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-05,TikTok Ads,android,16.46,3000.21,0.51,0.303,0.181,True
AB3_000146,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-07,Meta Ads,android,23.9,2144.76,0.343,0.249,0.193,False
AB3_000147,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-07,Meta Ads,android,18.42,1892.22,0.554,0.449,0.231,False
AB3_000148,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-08,Meta Ads,ios,28.12,1602.96,0.437,0.344,0.191,False
AB3_000149,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-05,Google UAC,android,20.88,1731.33,0.53,0.408,0.258,False
AB3_000150,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-27,Google UAC,android,23.58,1487.38,0.396,0.245,0.195,False
AB3_000151,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-17,Google UAC,android,17.11,2186.91,0.498,0.37,0.236,False
AB3_000152,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-02,TikTok Ads,android,21.78,2062.68,0.471,0.242,0.224,False
AB3_000153,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-14,TikTok Ads,ios,23.66,2099.33,0.558,0.339,0.222,True
AB3_000154,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-31,TikTok Ads,ios,28.78,1988.52,0.369,0.35,0.171,False
AB3_000155,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-18,Google UAC,ios,19.67,2136.95,0.584,0.43,0.241,False
AB3_000156,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-20,Google UAC,android,22.55,2418.28,0.46,0.392,0.244,False
AB3_000157,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-01,Google UAC,android,25.72,2001.08,0.409,0.392,0.209,False
AB3_000158,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-22,Meta Ads,android,17.36,614.95,0.382,0.286,0.24,False
AB3_000159,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-28,Meta Ads,android,15.21,2071.09,0.469,0.325,0.175,False
AB3_000160,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-24,Google UAC,android,21.05,2044.95,0.462,0.235,0.14,False
AB3_000161,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-06,Meta Ads,android,17.48,1932.18,0.526,0.351,0.152,False
AB3_000162,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-04,Google UAC,ios,20.07,2161.57,0.483,0.253,0.168,False
AB3_000163,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-06,Meta Ads,android,18.38,3111.83,0.45,0.298,0.257,False
AB3_000164,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-21,TikTok Ads,android,26.81,1949.66,0.385,0.174,0.162,False
AB3_000165,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-13,Meta Ads,android,9.0,1500.18,0.538,0.366,0.283,False
AB3_000166,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-02,Google UAC,android,27.33,1947.89,0.433,0.303,0.204,False
AB3_000167,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-16,TikTok Ads,ios,18.93,1424.62,0.553,0.389,0.213,False
AB3_000168,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-26,Google UAC,android,29.55,1225.55,0.463,0.275,0.131,False
AB3_000169,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-22,Google UAC,android,18.49,1742.6,0.545,0.377,0.176,False
AB3_000170,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-22,TikTok Ads,android,25.75,2609.86,0.506,0.274,0.162,True
AB3_000171,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-21,Meta Ads,ios,20.82,2984.93,0.517,0.419,0.22,False
AB3_000172,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-23,Google UAC,android,25.61,972.09,0.339,0.313,0.166,False
AB3_000173,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-08,Meta Ads,android,19.58,2418.12,0.507,0.249,0.211,False
AB3_000174,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-03,Google UAC,ios,29.38,1691.84,0.504,0.336,0.168,False
AB3_000175,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-27,TikTok Ads,android,17.13,2050.34,0.419,0.288,0.26,False
AB3_000176,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-12,Google UAC,android,24.91,1828.22,0.342,0.314,0.11,True
AB3_000177,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-10,Google UAC,ios,17.38,2212.22,0.531,0.35,0.171,False
AB3_000178,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-22,TikTok Ads,ios,26.92,2306.19,0.491,0.164,0.234,False
AB3_000179,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-02,Meta Ads,android,19.04,2670.57,0.507,0.392,0.231,False
AB3_000180,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-27,Google UAC,android,21.26,573.95,0.361,0.278,0.231,False
AB3_000181,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-28,Meta Ads,android,16.73,1925.92,0.548,0.336,0.226,False
AB3_000182,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-17,Meta Ads,ios,23.02,1367.48,0.343,0.274,0.127,False
AB3_000183,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-03,Meta Ads,android,20.74,1251.65,0.567,0.43,0.211,False
AB3_000184,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-03,TikTok Ads,ios,26.79,1874.65,0.417,0.299,0.202,False
AB3_000185,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-16,Meta Ads,android,22.28,1296.22,0.473,0.31,0.206,False
AB3_000186,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-16,Meta Ads,android,29.81,1980.86,0.439,0.306,0.153,False
AB3_000187,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-13,Meta Ads,android,16.51,2356.43,0.422,0.304,0.248,False
AB3_000188,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-24,Meta Ads,ios,19.08,1212.47,0.426,0.27,0.182,False
AB3_000189,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-27,Google UAC,ios,20.03,2588.71,0.448,0.326,0.22,True
AB3_000190,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-10,Meta Ads,ios,24.32,1618.99,0.414,0.344,0.21,False
AB3_000191,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-15,Meta Ads,ios,23.96,3315.81,0.48,0.384,0.224,False
